"category","name","label","label2","address","postal_code","country","latitude","longitude"
"DINING","Maxwell Food Centre (Kim Hua Market)","HAWKER",NA,"Kadayanallur Street",69184,"Singapore",1.280112235,103.8448279
"DINING","Mei Chin Road Blk 159 (Mei Chin Road Market)","HAWKER",NA,"Mei Chin Road",140159,"Singapore",1.293236221,103.8029039
"DINING","New Market Road Blk 32 (People's Park Food Centre)","HAWKER",NA,"New Market Road",50032,"Singapore",1.284991022,103.8425788
"DINING","New Upper Changi Road Blk 208B","HAWKER",NA,"New Upper Changi Road",462208,"Singapore",1.324738845,103.9305605
"DINING","New Upper Changi Road Blk 58","HAWKER",NA,"New Upper Changi Road",461058,"Singapore",1.324187828,103.9411324
"DINING","Newton Food Centre","HAWKER",NA,"Clemenceau Ave North",229495,"Singapore",1.311892357,103.8395627
"DINING","North Bridge Road Market","HAWKER",NA,"North Bridge Road",198783,"Singapore",1.305765378,103.863891
"DINING","Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)","HAWKER",NA,"Old Airport Road",390051,"Singapore",1.308251563,103.8858332
"DINING","Our Tampines Hub","HAWKER",NA,"Tampines Walk",528523,"Singapore",1.353862118,103.9397262
"DINING","Pasir Panjang Food Centre","HAWKER",NA,"Pasir Panjang Road",118543,"Singapore",1.275907525,103.7914027
"DINING","Pasir Ris Central Hawker Centre","HAWKER",NA,"Pasir Ris Central",519641,"Singapore",1.37343414,103.951543
"DINING","Queen Street Blk 270 (Albert Centre)","HAWKER",NA,"Queen Street",180270,"Singapore",1.301001465,103.8542116
"DINING","Redhill Lane Blk 79 (Redhill Market)","HAWKER",NA,"Redhill Lane",150079,"Singapore",1.287858103,103.8184026
"DINING","Redhill Lane Blk 85 (Redhill Food Centre)","HAWKER",NA,"Redhill Lane",150085,"Singapore",1.287330767,103.8183389
"DINING","Sembawang Hills Food Centre (Jalan Leban Food Centre)","HAWKER",NA,"Upper Thomson Road",574419,"Singapore",1.37238494,103.8289942
"DINING","Serangoon Garden Market","HAWKER",NA,"Serangoon Garden Way",555945,"Singapore",1.36315712,103.8667375
"DINING","Shunfu Road Blk 320 (Shunfu Mart)","HAWKER",NA,"Shunfu Road",570320,"Singapore",1.352007442,103.8370318
"DINING","Adam Road Food Centre","HAWKER",NA,"Adam Road",289876,"Singapore",1.324134223,103.814165
"DINING","Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)","HAWKER",NA,"Aljunied Ave 2",380117,"Singapore",1.320648292,103.887019
"DINING","Amoy Street Food Centre (Telok Ayer Food Centre)","HAWKER",NA,"Telok Ayer Street",69111,"Singapore",1.279218443,103.8466068
"DINING","Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)","HAWKER",NA,"Ang Mo Kio Ave 1",564226,"Singapore",1.366787645,103.8392313
"DINING","Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)","HAWKER",NA,"Ang Mo Kio Ave 1",560341,"Singapore",1.364105171,103.8482542
"DINING","Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)","HAWKER",NA,"Ang Mo Kio Ave 10",560409,"Singapore",1.362768918,103.8553698
"DINING","Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)","HAWKER",NA,"Ang Mo Kio Ave 10",561453,"Singapore",1.368240493,103.8563514
"DINING","Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)","HAWKER",NA,"Ang Mo Kio Ave 10",560527,"Singapore",1.372769928,103.8544828
"DINING","Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)","HAWKER",NA,"Ang Mo Kio Ave 4",560160,"Singapore",1.374489121,103.8392143
"DINING","Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)","HAWKER",NA,"Ang Mo Kio Ave 4",560628,"Singapore",1.381024867,103.8406823
"DINING","Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)","HAWKER",NA,"Ang Mo Kio Ave 6",560724,"Singapore",1.372197433,103.8465192
"DINING","Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)","HAWKER",NA,"Ang Mo Kio Street 22",568226,"Singapore",1.367230149,103.8399532
"DINING","Bedok Food Centre","HAWKER",NA,"Bedok Road",469572,"Singapore",1.320356008,103.9554742
"DINING","Bedok North Street 1 Blk 216","HAWKER",NA,"Bedok North Street 1",460216,"Singapore",1.327062409,103.9332215
"DINING","Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre)","HAWKER",NA,"Bedok North Street 3",460511,"Singapore",1.333246279,103.9306021
"DINING","Bedok North Street 3 Blk 538","HAWKER",NA,"Bedok North Street 3",460538,"Singapore",1.331781251,103.9248442
"DINING","Bedok North Street 4 Blk 85 (85 Fengshan Centre)","HAWKER",NA,"Bedok North Street 4",460085,"Singapore",1.331987069,103.9387326
"DINING","Bedok Reservoir Road Blk 630","HAWKER",NA,"Bedok Reservoir Road",470630,"Singapore",1.333159248,103.9140539
"DINING","Bedok South Road Blk 16","HAWKER",NA,"Bedok South Road",460016,"Singapore",1.320552165,103.9355391
"DINING","Bendemeer Road Blk 29 (Bendemeer Market and Food Centre)","HAWKER",NA,"Bendemeer Road",330029,"Singapore",1.319216998,103.8630214
"DINING","Beo Crescent Market","HAWKER",NA,"Beo Crescent",169982,"Singapore",1.288822102,103.827358
"DINING","Berseh Food Centre","HAWKER",NA,"Jalan Besar",208877,"Singapore",1.307336517,103.856854
