"category","name","label","label2","address","postal_code","country","latitude","longitude"
"GROCERIES","LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.","SUPERMARKET",NA,"PUNGGOL PLACE",823273,"Singapore",1.402303006,103.9012624
"GROCERIES","SHENG SIONG SUPERMARKET PTE LTD","SUPERMARKET",NA,"UPPER BOON KENG ROAD",380011,"Singapore",1.314239371,103.870914
"GROCERIES","COLD STORAGE SINGAPORE (1983) PTE LTD","SUPERMARKET",NA,"HOUGANG AVENUE 8",530683,"Singapore",1.373321217,103.8863655
"GROCERIES","COLD STORAGE SINGAPORE (1983) PTE LTD","SUPERMARKET",NA,"BEDOK RESERVOIR ROAD",470631,"Singapore",1.332958727,103.9149418
"GROCERIES","YES SUPERMARKET PTE LTD","SUPERMARKET",NA,"TAMPINES STREET 21",522201,"Singapore",1.353453156,103.9530099
"GROCERIES","SUZYAMEER FROZEN PTE. LTD.","SUPERMARKET",NA,"TAMPINES STREET 21",524201,"Singapore",1.352262313,103.9535865
"GROCERIES","G8 MART PTE. LTD.","SUPERMARKET",NA,"ANG MO KIO AVENUE 10",560421,"Singapore",1.365384216,103.852967
"GROCERIES","SHENG SIONG SUPERMARKET PTE LTD","SUPERMARKET",NA,"ANG MO KIO AVENUE 3",560233,"Singapore",1.367549248,103.8367406
"GROCERIES","PRIME SUPERMARKET (1996) PTE LTD","SUPERMARKET",NA,"HOUGANG AVENUE 1",530106,"Singapore",1.353702969,103.8906808
"GROCERIES","TAN KWEE ENG","SUPERMARKET",NA,"YISHUN RING ROAD",760327,"Singapore",1.430071097,103.8423964
"GROCERIES","SHENG SIONG SUPERMARKET PTE LTD","SUPERMARKET",NA,"ANG MO KIO AVENUE 3",560122,"Singapore",1.370188604,103.8434132
"GROCERIES","KAI SOON SUPERMARKET PTE. LTD.","SUPERMARKET",NA,"YISHUN RING ROAD",760780,"Singapore",1.42213865,103.8328827
"GROCERIES","COLD STORAGE SINGAPORE (1983) PTE LTD","SUPERMARKET",NA,"SUNSET WAY",597071,"Singapore",1.323250401,103.7672601
