"category","name","label","label2","address","postal_code","country","latitude","longitude"
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,ISP","RIVERVALE DRIVE",540118,"Singapore",1.385337361,103.901841
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","TOWNER ROAD",322101,"Singapore",1.31942539,103.8610875
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","PASIR RIS CENTRAL",519634,"Singapore",1.37300805,103.9492651
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","TAMPINES STREET 21",524201,"Singapore",1.352262314,103.9535865
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","YISHUN AVENUE 5",760101,"Singapore",1.430535754,103.8276677
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","YISHUN STREET 72",760748,"Singapore",1.427518982,103.8334505
"HEALTHCARE","HEALTHWAY MEDICAL CLINIC","CLINIC","CDMP,CHAS,ISP","SEMBAWANG DRIVE",757713,"Singapore",1.448195354,103.8195021
"HEALTHCARE","HEALTHWISE MEDICAL CLINIC & SURGERY","CLINIC","CDMP,CHAS,ISP","JALAN TIGA",390041,"Singapore",1.307827368,103.8847638
"HEALTHCARE","HL CLINIC PTE LTD","CLINIC","CDMP,CHAS,ISP","TELOK BLANGAH CRESCENT",90009,"Singapore",1.277407859,103.8194085
"HEALTHCARE","HO MEDICAL CENTRE PTE LTD","CLINIC","CDMP,CHAS,ISP","CLEMENTI AVENUE 2",120352,"Singapore",1.314278603,103.7713506
"HEALTHCARE","HONG ASSOCIATES CLINIC","CLINIC","CDMP,CHAS,ISP","JLN BUKIT MERAH",160111,"Singapore",1.280321136,103.8261859
"HEALTHCARE","HUI CLINIC + SURGERY","CLINIC","CDMP,CHAS,ISP","ANG MO KIO AVE 4",560157,"Singapore",1.375305621,103.8393951
"HEALTHCARE","HWANG & LIANG FAMILY CLINIC & SURGERY","CLINIC","CDMP,CHAS,ISP","TAMPINES ST 44",520476,"Singapore",1.360922839,103.9533594
"HEALTHCARE","Halley Medical Clinic","CLINIC","CDMP,CHAS,ISP","HOUGANG STREET 91",538692,"Singapore",1.375715307,103.8794723
"HEALTHCARE","Hamid Family Clinic & Surgery","CLINIC","CDMP,CHAS,ISP","Pasir Ris St 13",510156,"Singapore",1.364083645,103.9628953
"HEALTHCARE","HealthMed Family Clinic (Bukit Panjang)","CLINIC","CDMP,CHAS,ISP","Saujana Road",670416,"Singapore",1.383196867,103.7684541
"HEALTHCARE","Healthmark Family Clinic (Compassvale)","CLINIC","CDMP,CHAS,ISP","Compassvale Street",540263,"Singapore",1.394848165,103.8960423
"HEALTHCARE","Healthmark Family Medicine Clinic","CLINIC","CDMP,CHAS,ISP","Choa Chu Kang St 62",680601,"Singapore",1.39693363,103.7449217
"HEALTHCARE","Healthmark Medical Clinic","CLINIC","CDMP,CHAS,ISP","Punggol Drive",820639,"Singapore",1.399446151,103.9160547
