"category","name","label","label2","address","postal_code","country","latitude","longitude"
"TRANSPORTATION","ADMIRALTY MRT STATION","RED","NS10",24402.1063,46918.1131,"Singapore",1.440585001,103.8009982
"TRANSPORTATION","ALJUNIED MRT STATION","GREEN","EW9",33518.6049,33190.002,"Singapore",1.316432612,103.882893
"TRANSPORTATION","ANG MO KIO MRT STATION","RED","NS16",29807.2655,39105.772,"Singapore",1.369933175,103.8495535
"TRANSPORTATION","BAKAU LRT STATION","OTHERS","SE3",36026.0821,41113.8766,"Singapore",1.388092704,103.9054179
"TRANSPORTATION","BANGKIT LRT STATION","OTHERS","BP9",21248.246,40220.9693,"Singapore",1.380017897,103.7726667
"TRANSPORTATION","BARTLEY MRT STATION","YELLOW","CC12",33168.3039,36108.7003,"Singapore",1.342828338,103.8797462
"TRANSPORTATION","BAYFRONT MRT STATION","OTHERS","CE1",30867.0093,29368.625,"Singapore",1.281873788,103.8590733
"TRANSPORTATION","BAYFRONT MRT STATION","BLUE","DT16",30867.0093,29368.625,"Singapore",1.281873788,103.8590733
"TRANSPORTATION","BEAUTY WORLD MRT STATION","BLUE","DT5",21598.1665,35931.2359,"Singapore",1.341223176,103.77581
"TRANSPORTATION","BEDOK MRT STATION","GREEN","EW5",38757.952,34024.7048,"Singapore",1.323979969,103.9299587
"TRANSPORTATION","BEDOK NORTH MRT STATION","BLUE","DT29",37421.7438,35214.6804,"Singapore",1.334742117,103.9179554
"TRANSPORTATION","BEDOK RESERVOIR MRT STATION","BLUE","DT30",39008.3132,35421.0409,"Singapore",1.33660783,103.9322077
"TRANSPORTATION","BENCOOLEN MRT STATION","BLUE","DT21",29899.2575,31247.3368,"Singapore",1.29886427,103.8503799
"TRANSPORTATION","BENDEMEER MRT STATION","BLUE","DT23",31300.8084,32884.7382,"Singapore",1.313672233,103.8629702
"TRANSPORTATION","BISHAN MRT STATION","YELLOW","CC15",29762.3507,37046.3699,"Singapore",1.35130868,103.84915
"TRANSPORTATION","BISHAN MRT STATION","RED","NS17",29649.8988,36994.433,"Singapore",1.350838988,103.8481398
