category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (ELEMENTARY),CHIJ OUR LADY QUEEN OF PEACE,ELEMENTARY,NA,4 Chestnut Drive,679287,Singapore,1.36666,103.76754
EDUCATION (ELEMENTARY),HONG WEN SCHOOL,ELEMENTARY,NA,30 TOWNER ROAD,327829,Singapore,1.32173,103.85766
EDUCATION (ELEMENTARY),MARYMOUNT CONVENT SCHOOL,ELEMENTARY,NA,430 Lorong 1 Toa Payoh,319759,Singapore,1.3402,103.84321
EDUCATION (ELEMENTARY),POI CHING SCHOOL,ELEMENTARY,NA,21 TAMPINES STREET 71,529067,Singapore,1.35778,103.93525
EDUCATION (ELEMENTARY),ST. STEPHEN'S SCHOOL,ELEMENTARY,NA,20 SIGLAP VIEW,455789,Singapore,1.31901,103.9176
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Cheng San-Seletar Blk 435 (KN),ELEMENTARY,KINDERGARTEN,435 Ang Mo Kio Avenue 10  #01-1393 S(560435),560435,Singapore,1.367703675,103.8542143
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Cheng San-Seletar Blk 533 (KN),ELEMENTARY,KINDERGARTEN,533 Ang Mo Kio Avenue 5  #01-4100 S(560533),560533,Singapore,1.374169224,103.8530019
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Cheng San-Seletar Blk 556 (DS),ELEMENTARY,KINDERGARTEN,556 Ang Mo Kio Avenue 10  #01-1902 S(560556),560556,Singapore,1.372032359,103.8576254
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Chong Pang Blk 107 (KN),ELEMENTARY,KINDERGARTEN,107 Yishun Ring Road  #01-207 S(760107),760107,Singapore,1.432218075,103.8275202
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Chong Pang Blk 122 (KN),ELEMENTARY,KINDERGARTEN,122 Yishun Street 11  #01-479 S(760122),760122,Singapore,1.434997581,103.8311248
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Chua Chu Kang Blk 10 (KN),ELEMENTARY,KINDERGARTEN,10 Teck Whye Avenue Blk 8 #01-59 S(680010),680010,Singapore,1.380470544,103.7552111
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Clementi Blk 330 (DS),ELEMENTARY,KINDERGARTEN,330 Clementi Avenue 2  #01-170 S(120330),120330,Singapore,1.313744697,103.7677818
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Eunos Blk 616 (KN),ELEMENTARY,KINDERGARTEN,616 Bedok Reservoir Road  #01-1106 S(470616),470616,Singapore,1.331827123,103.9149911
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Fengshan Blk 126 (DS),ELEMENTARY,KINDERGARTEN,126 Bedok North Street 2 Blk 119 #01-88 S(460126),460126,Singapore,1.328168293,103.9389179
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Fernvale Blk 416A (DS),ELEMENTARY,KINDERGARTEN,416A Fernvale Link Blk 415A #01-106 S(791416),791416,Singapore,1.390611962,103.8799636
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Geylang Serai Blk 11 (KN),ELEMENTARY,KINDERGARTEN,11 Eunos Cresent  #01-2737 S(400011),400011,Singapore,1.321800285,103.9044244
EDUCATION (ELEMENTARY),PCF Sparkletots Preschool @ Henderson-Dawson Blk 124A (KN),ELEMENTARY,KINDERGARTEN,124A Bukit Merah View Blk 123 #01-406 S(151124),151124,Singapore,1.284887038,103.8227818
