category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (POST SECONDARY),ANDERSON JUNIOR COLLEGE,POST-SECONDARY,NA,4500 ANG MO KIO AVENUE 6,569843,Singapore,1.37884,103.84551
EDUCATION (POST SECONDARY),ANGLO-CHINESE JUNIOR COLLEGE,POST-SECONDARY,NA,25 DOVER CLOSE EAST,139745,Singapore,1.30314,103.78511
EDUCATION (POST SECONDARY),CATHOLIC JUNIOR COLLEGE,POST-SECONDARY,NA,129 WHITLEY ROAD,297822,Singapore,1.32498,103.83521
EDUCATION (POST SECONDARY),HWA CHONG INSTITUTION,POST-SECONDARY,NA,661 BUKIT TIMAH ROAD,269734,Singapore,1.32525,103.80619
EDUCATION (POST SECONDARY),INNOVA JUNIOR COLLEGE,POST-SECONDARY,NA,21 Champions Way,737902,Singapore,1.43025,103.78834
EDUCATION (POST SECONDARY),JURONG JUNIOR COLLEGE,POST-SECONDARY,NA,800 CORPORATION ROAD,649809,Singapore,1.35106,103.71355
EDUCATION (POST SECONDARY),MERIDIAN JUNIOR COLLEGE,POST-SECONDARY,NA,21 Pasir Ris Street 71,518799,Singapore,1.37665,103.93727
EDUCATION (POST SECONDARY),MILLENNIA INSTITUTE,POST-SECONDARY,NA,60 Bukit Batok West Avenue 8,658965,Singapore,1.351,103.74141
EDUCATION (POST SECONDARY),MONTFORT JUNIOR SCHOOL,POST-SECONDARY,NA,52 HOUGANG AVENUE 8,538786,Singapore,1.37386,103.88961
EDUCATION (POST SECONDARY),NANYANG JUNIOR COLLEGE,POST-SECONDARY,NA,128 SERANGOON AVENUE 3,556111,Singapore,1.35029,103.86651
EDUCATION (POST SECONDARY),NATIONAL JUNIOR COLLEGE,POST-SECONDARY,NA,37 HILLCREST ROAD,288913,Singapore,1.33048,103.8045
EDUCATION (POST SECONDARY),NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,POST-SECONDARY,NA,20 Clementi Avenue 1,129957,Singapore,1.30712,103.76911
EDUCATION (POST SECONDARY),PIONEER JUNIOR COLLEGE,POST-SECONDARY,NA,21 Teck Whye Walk,688258,Singapore,1.38463,103.75395
EDUCATION (POST SECONDARY),RAFFLES INSTITUTION,POST-SECONDARY,NA,1 RAFFLES INSTITUTION LANE,575954,Singapore,1.34697,103.84425
EDUCATION (POST SECONDARY),SCHOOL OF THE ARTS,SECONDARY,POST-SECONDARY,01 05 1 Zubir Said Drive Admin Office,227968,Singapore,1.29931,103.849
EDUCATION (POST SECONDARY),SERANGOON JUNIOR COLLEGE,POST-SECONDARY,NA,1033 UPPER SERANGOON ROAD,534768,Singapore,1.36517,103.887
EDUCATION (POST SECONDARY),ST. ANDREW'S JUNIOR COLLEGE,POST-SECONDARY,NA,5 Sorby Adams Drive,357691,Singapore,1.33377,103.86311
EDUCATION (POST SECONDARY),ST. ANDREW'S JUNIOR SCHOOL,POST-SECONDARY,NA,2 FRANCIS THOMAS DRIVE,359337,Singapore,1.33146,103.86504
EDUCATION (POST SECONDARY),ST. JOSEPH'S INSTITUTION JUNIOR,POST-SECONDARY,NA,3 ESSEX ROAD,309331,Singapore,1.3178,103.84582
EDUCATION (POST SECONDARY),TAMPINES JUNIOR COLLEGE,POST-SECONDARY,NA,2 TAMPINES AVENUE 9,529564,Singapore,1.35761,103.95586
EDUCATION (POST SECONDARY),TEMASEK JUNIOR COLLEGE,POST-SECONDARY,NA,22 BEDOK SOUTH ROAD,469278,Singapore,1.31856,103.93554
EDUCATION (POST SECONDARY),VICTORIA JUNIOR COLLEGE,POST-SECONDARY,NA,20 MARINE VISTA,449035,Singapore,1.30656,103.92063
EDUCATION (POST SECONDARY),YISHUN JUNIOR COLLEGE,POST-SECONDARY,NA,3 YISHUN RING ROAD,768675,Singapore,1.42493,103.8303
