category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (PRIMARY),ADMIRALTY PRIMARY SCHOOL,PRIMARY,NA,11 WOODLANDS CIRCLE,738907,Singapore,1.44305,103.80044
EDUCATION (PRIMARY),AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,NA,10 YISHUN STREET 11,768643,Singapore,1.43343,103.83281
EDUCATION (PRIMARY),AI TONG SCHOOL,PRIMARY,NA,100 Bright Hill Drive,579646,Singapore,1.36102,103.83268
EDUCATION (PRIMARY),ALEXANDRA PRIMARY SCHOOL,PRIMARY,NA,2A Prince Charles Crescent,159016,Singapore,1.29129,103.82357
EDUCATION (PRIMARY),ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,NA,31 Anchorvale Drive,544969,Singapore,1.39093,103.88741
EDUCATION (PRIMARY),ANDERSON PRIMARY SCHOOL,PRIMARY,NA,19 ANG MO KIO AVE 9 ANDERSON PRIMARY SCHOOL,569785,Singapore,1.38469,103.84123
EDUCATION (PRIMARY),ANGLO-CHINESE SCHOOL (JUNIOR),PRIMARY,NA,16 WINSTEDT ROAD,227988,Singapore,1.3089,103.84130999999999
EDUCATION (PRIMARY),ANGLO-CHINESE SCHOOL (PRIMARY),PRIMARY,NA,50 BARKER ROAD,309918,Singapore,1.31874,103.83535
EDUCATION (PRIMARY),ANG MO KIO PRIMARY SCHOOL,PRIMARY,NA,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL,569920,Singapore,1.3694,103.83983
EDUCATION (PRIMARY),ANGSANA PRIMARY SCHOOL,PRIMARY,NA,3 Tampines Street 22,529366,Singapore,1.34874,103.95168
EDUCATION (PRIMARY),BALESTIER HILL PRIMARY SCHOOL,PRIMARY,NA,565 BALESTIER ROAD,329927,Singapore,1.32561,103.84441
EDUCATION (PRIMARY),BEACON PRIMARY SCHOOL,PRIMARY,NA,36 Bukit Panjang Ring Road,679944,Singapore,1.38424,103.77377
EDUCATION (PRIMARY),BEDOK GREEN PRIMARY SCHOOL,PRIMARY,NA,1 BEDOK SOUTH AVE 2,469317,Singapore,1.32377,103.93746
EDUCATION (PRIMARY),BENDEMEER PRIMARY SCHOOL,PRIMARY,NA,91 BENDEMEER ROAD,339948,Singapore,1.32183,103.86551
EDUCATION (PRIMARY),BLANGAH RISE PRIMARY SCHOOL,PRIMARY,NA,91 TELOK BLANGAH HEIGHTS,109100,Singapore,1.2762,103.80868
EDUCATION (PRIMARY),BOON LAY GARDEN PRIMARY SCHOOL,PRIMARY,NA,20 BOON LAY DRIVE,649930,Singapore,1.34287,103.71298
EDUCATION (PRIMARY),BUKIT PANJANG PRIMARY SCHOOL,PRIMARY,NA,109 CASHEW ROAD,679676,Singapore,1.3736,103.76953
EDUCATION (PRIMARY),BUKIT TIMAH PRIMARY SCHOOL,PRIMARY,NA,111 Lorong Kismis Bukit Timah Primary School,598112,Singapore,1.33739,103.76677
EDUCATION (PRIMARY),BUKIT VIEW PRIMARY SCHOOL,PRIMARY,NA,18 BUKIT BATOK STREET 21,659634,Singapore,1.34591,103.75346
EDUCATION (PRIMARY),CANBERRA PRIMARY SCHOOL,PRIMARY,NA,21 ADMIRALTY DRIVE,757714,Singapore,1.451,103.81554
EDUCATION (PRIMARY),CANOSSA CONVENT PRIMARY SCHOOL,PRIMARY,NA,1 Sallim Road,387621,Singapore,1.32656,103.88189
EDUCATION (PRIMARY),CANTONMENT PRIMARY SCHOOL,PRIMARY,NA,1 Cantonment Close,88256,Singapore,1.27559,103.84001
EDUCATION (PRIMARY),CASUARINA PRIMARY SCHOOL,PRIMARY,NA,30 PASIR RIS ST 41,518935,Singapore,1.37277,103.95732
EDUCATION (PRIMARY),CEDAR PRIMARY SCHOOL,PRIMARY,NA,15 CEDAR AVENUE,349700,Singapore,1.33561,103.87546
EDUCATION (PRIMARY),CHANGKAT PRIMARY SCHOOL,PRIMARY,NA,11 SIMEI ST 3,529896,Singapore,1.34041,103.95199
EDUCATION (PRIMARY),CHIJ (KATONG) PRIMARY,PRIMARY,NA,17 MARTIA ROAD,424821,Singapore,1.30641,103.91096
EDUCATION (PRIMARY),CHIJ (KELLOCK),PRIMARY,NA,1 Bukit Teresa Road,99757,Singapore,1.3017,103.80052
EDUCATION (PRIMARY),CHIJ OUR LADY OF GOOD COUNSEL,PRIMARY,NA,2C Burghley Drive,558979,Singapore,1.35739,103.86377
EDUCATION (PRIMARY),CHIJ OUR LADY OF THE NATIVITY,PRIMARY,NA,1257 UPPER SERANGOON ROAD,534793,Singapore,1.37353,103.89754
EDUCATION (PRIMARY),CHIJ PRIMARY (TOA PAYOH),PRIMARY,NA,628 Lorong 1 Toa Payoh,319765,Singapore,1.33312,103.84233
EDUCATION (PRIMARY),CHIJ ST. NICHOLAS GIRLS' SCHOOL,PRIMARY,NA,501 ANG MO KIO STREET 13,569405,Singapore,1.37568,103.83411
EDUCATION (PRIMARY),CHONGFU SCHOOL,PRIMARY,NA,170 YISHUN AVENUE 6,768959,Singapore,1.43885,103.83938
EDUCATION (PRIMARY),CHONGZHENG PRIMARY SCHOOL,PRIMARY,NA,1 TAMPINES STREET 21,529392,Singapore,1.35084,103.95144
EDUCATION (PRIMARY),CHUA CHU KANG PRIMARY SCHOOL,PRIMARY,NA,20 CHOA CHU KANG AVENUE 2,689905,Singapore,1.37782,103.74231
EDUCATION (PRIMARY),CLEMENTI PRIMARY SCHOOL,PRIMARY,NA,8 CLEMENTI AVE 3,129903,Singapore,1.31559,103.76305
EDUCATION (PRIMARY),COMPASSVALE PRIMARY SCHOOL,PRIMARY,NA,21 COMPASSVALE ST,545091,Singapore,1.39418,103.8979
EDUCATION (PRIMARY),CONCORD PRIMARY SCHOOL,PRIMARY,NA,3 CHOA CHU KANG AVE 4,689814,Singapore,1.38035,103.73634
EDUCATION (PRIMARY),CORAL PRIMARY SCHOOL,PRIMARY,NA,20 PASIR RIS ST 51,518902,Singapore,1.36832,103.95094
EDUCATION (PRIMARY),CORPORATION PRIMARY SCHOOL,PRIMARY,NA,31 JURONG WEST STREET 24,648347,Singapore,1.3515,103.70758
EDUCATION (PRIMARY),DAMAI PRIMARY SCHOOL,PRIMARY,NA,50 BEDOK RESERVOIR CRESCENT,479225,Singapore,1.3354,103.92029
EDUCATION (PRIMARY),DA QIAO PRIMARY SCHOOL,PRIMARY,NA,8 ANG MO KIO STREET 54,569185,Singapore,1.3719,103.85883
EDUCATION (PRIMARY),DAZHONG PRIMARY SCHOOL,PRIMARY,NA,35 BUKIT BATOK STREET 31,659441,Singapore,1.35938,103.74802
EDUCATION (PRIMARY),DE LA SALLE SCHOOL,PRIMARY,NA,11 Choa Chu Kang St 52,689285,Singapore,1.39489,103.74335
EDUCATION (PRIMARY),EAST COAST PRIMARY SCHOOL,PRIMARY,NA,8 CHAI CHEE LANE,469031,Singapore,1.32941,103.92012
EDUCATION (PRIMARY),EAST SPRING PRIMARY SCHOOL,PRIMARY,NA,31 TAMPINES ST 33,529258,Singapore,1.37938,103.96729
EDUCATION (PRIMARY),EAST VIEW PRIMARY SCHOOL,PRIMARY,NA,4 TAMPINES STREET 91,528907,Singapore,1.3468,103.93959
EDUCATION (PRIMARY),EDGEFIELD PRIMARY SCHOOL,PRIMARY,NA,41 EDGEFIELD PLAINS,828869,Singapore,1.40025,103.90759
EDUCATION (PRIMARY),ELIAS PARK PRIMARY SCHOOL,PRIMARY,NA,11 PASIR RIS STREET 52,518866,Singapore,1.37457,103.94558
EDUCATION (PRIMARY),ENDEAVOUR PRIMARY SCHOOL,PRIMARY,NA,10 Admiralty Link,757521,Singapore,1.45457,103.81718
EDUCATION (PRIMARY),EUNOS PRIMARY SCHOOL,PRIMARY,NA,95 JALAN EUNOS Eunos Primary School,419529,Singapore,1.32452,103.9043
