category,name,label,label2,address,postal_code,country,latitude,longitude
EDUCATION (SECONDARY),ADMIRALTY SECONDARY SCHOOL,SECONDARY,NA,31 WOODLANDS CRESCENT,737916,Singapore,1.44627,103.80261
EDUCATION (SECONDARY),AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,NA,751 YISHUN AVENUE 7,768928,Singapore,1.43632,103.8299
EDUCATION (SECONDARY),ANDERSON SECONDARY SCHOOL,SECONDARY,NA,10 ANG MO KIO STREET 53,569206,Singapore,1.37464,103.85103
EDUCATION (SECONDARY),ANGLICAN HIGH SCHOOL,SECONDARY,NA,600 UPPER CHANGI ROAD,487012,Singapore,1.33078,103.94164
EDUCATION (SECONDARY),ANGLO-CHINESE SCHOOL (BARKER ROAD),SECONDARY,NA,60 BARKER ROAD,309919,Singapore,1.31974,103.83585
EDUCATION (SECONDARY),ANGLO-CHINESE SCHOOL (INDEPENDENT),SECONDARY,NA,121 DOVER ROAD,139650,Singapore,1.3027,103.78055
EDUCATION (SECONDARY),ANG MO KIO SECONDARY SCHOOL,SECONDARY,NA,6 ANG MO KIO STREET 22,569362,Singapore,1.36735,103.8426
EDUCATION (SECONDARY),ASSUMPTION ENGLISH SCHOOL,SECONDARY,NA,622 Upper Bukit Timah Road Assumption English School,678117,Singapore,1.36819,103.76598
EDUCATION (SECONDARY),BALESTIER HILL SECONDARY SCHOOL,SECONDARY,NA,11 NOVENA RISE,307516,Singapore,1.32489,103.84453
EDUCATION (SECONDARY),BARTLEY SECONDARY SCHOOL,SECONDARY,NA,10 JALAN BUNGA RAMPAI ROAD,538403,Singapore,1.34028,103.88283
EDUCATION (SECONDARY),BEATTY SECONDARY SCHOOL,SECONDARY,NA,1 TOA PAYOH NORTH,318990,Singapore,1.34154,103.85196
EDUCATION (SECONDARY),BEDOK GREEN SECONDARY SCHOOL,SECONDARY,NA,360 BEDOK NORTH AVE 3,469722,Singapore,1.33414,103.93534
EDUCATION (SECONDARY),BEDOK NORTH SECONDARY SCHOOL,SECONDARY,NA,20 JALAN DAMAI,419612,Singapore,1.3348,103.91023
EDUCATION (SECONDARY),BEDOK SOUTH SECONDARY SCHOOL,SECONDARY,NA,1 JALAN LANGGAR BEDOK,468585,Singapore,1.32481,103.95098
EDUCATION (SECONDARY),BEDOK VIEW SECONDARY SCHOOL,SECONDARY,NA,6 BEDOK SOUTH AVENUE 3,469293,Singapore,1.32463,103.94386
EDUCATION (SECONDARY),BENDEMEER SECONDARY SCHOOL,SECONDARY,NA,1 ST WILFRED ROAD,327919,Singapore,1.32461,103.86066
EDUCATION (SECONDARY),BISHAN PARK SECONDARY SCHOOL,SECONDARY,NA,2 SIN MING WALK,575565,Singapore,1.36437,103.83289
